iteration,mode,loss,compliance,volume,grad_norm,exact_calls,predicted_steps,accepted_step,step_size,gradient_source,prediction_uncertainty,angle_cosine,correction_error
0,exact,27193.20807945274,27193.208076513318,0.5000242463274668,181620.52075028294,1,0,0.0,0.04,exact,nan,nan,nan
1,exact,25939.55386629229,25939.553866157446,0.49999480683013064,148847.22979800974,2,0,0.04,0.04,exact,nan,nan,nan
2,exact,24932.67084045455,24932.67083944488,0.5000142103372603,133790.52010825643,3,0,0.04,0.04,exact,nan,nan,nan
3,exact,23986.379018555774,23986.37901782569,0.4999879162511572,135613.5809246211,4,0,0.04,0.04,exact,nan,nan,nan
4,exact,22922.27125090014,22922.271248955236,0.500019722596223,146811.9279485158,5,0,0.04,0.04,exact,nan,nan,nan
5,exact,21711.423265567766,21711.423262441316,0.4999749941978467,153316.36684017346,6,0,0.04,0.04,exact,nan,nan,nan
6,exact,20393.790849521476,20393.790848613957,0.4999865276628312,149971.1813412907,7,0,0.04,0.04,exact,nan,nan,nan
7,exact,19113.04505404596,19113.04505242523,0.5000180040506006,136743.35659123058,8,0,0.04,0.04,exact,nan,nan,nan
8,exact,18002.505159346816,18002.5051583727,0.4999860420914842,119068.44934975814,9,0,0.04,0.04,exact,nan,nan,nan
9,exact,17101.88434019401,17101.884340153454,0.4999971520198997,100319.72961946417,10,0,0.04,0.04,exact,nan,nan,nan
10,exact,16422.980048275786,16422.980046550107,0.4999814221639416,84652.37852231118,11,0,0.04,0.04,exact,nan,nan,nan
11,exact,15905.266894909506,15905.266894861388,0.5000031021731057,73699.98896558702,12,0,0.04,0.04,exact,nan,nan,nan
12,exact,15477.071765368177,15477.071765363462,0.49999902902608556,68631.75146593654,13,0,0.04,0.04,exact,nan,nan,nan
13,exact,15074.605397210993,15074.605397186659,0.49999779392411026,65542.57503806292,14,0,0.04,0.04,exact,nan,nan,nan
14,exact,14685.460168401063,14685.460168386382,0.5000017135900365,62559.491366290764,15,0,0.04,0.04,exact,nan,nan,nan
15,exact,14319.147346148326,14319.147346146457,0.4999993887459256,58840.68669291363,16,0,0.04,0.04,exact,nan,nan,nan
